Date,Description,Amount,Type
2024-01-05,Zomato Order,450,debit
2024-01-06,Amazon Shopping,1200,debit
2024-01-07,Salary,55000,credit
2024-01-09,Swiggy Food,300,debit
2024-01-10,Electricity Bill,1800,debit
2024-01-12,Netflix Subscription,499,debit
2024-01-15,Fuel Station,1500,debit
2024-01-18,Phone Recharge,349,debit
2024-01-20,Gym Membership,1200,debit
2024-01-22,Freelance Payment,8000,credit
2024-01-24,Big Bazaar Groceries,2300,debit
2024-01-26,Cinema Ticket,600,debit
2024-01-28,Uber Ride,250,debit
2024-01-30,Starbucks Coffee,220,debit

2024-02-02,Amazon Kindle,899,debit
2024-02-03,Internet Bill,999,debit
2024-02-05,Domino's Pizza,670,debit
2024-02-06,Salary,56000,credit
2024-02-07,Ola Cabs,200,debit
2024-02-08,Mobile Accessories,400,debit
2024-02-09,IRCTC Train Booking,1120,debit
2024-02-11,Spotify Subscription,129,debit
2024-02-13,ATM Withdrawal,5000,debit
2024-02-15,Medical Pharmacy,875,debit
2024-02-16,Freelance Payment,9500,credit
2024-02-18,Swiggy Instamart,780,debit
2024-02-20,Flipkart Sale,1450,debit
2024-02-22,Bus Pass Recharge,700,debit
2024-02-24,Phone EMI,2499,debit
2024-02-25,Mutual Fund SIP,2000,debit

2024-03-01,Rent Payment,12000,debit
2024-03-02,Salary,57000,credit
2024-03-03,Domino's Pizza,550,debit
2024-03-05,YouTube Premium,139,debit
2024-03-07,Medical Consultation,850,debit
2024-03-10,IRCTC Train Booking,920,debit
2024-03-12,Zomato Order,390,debit
2024-03-14,Ola Cabs,300,debit
2024-03-15,Freelance Payment,8700,credit
2024-03-18,Fuel Station,1600,debit
2024-03-20,Online Course,2999,debit
2024-03-22,Big Bazaar Groceries,2200,debit
2024-03-25,Netflix Subscription,499,debit
2024-03-27,Phone EMI,2499,debit

2024-04-01,Salary,58000,credit
2024-04-02,Zomato Order,500,debit
2024-04-03,Amazon Shopping,1100,debit
2024-04-04,IRCTC Train Booking,1050,debit
2024-04-06,Spotify Subscription,129,debit
2024-04-07,ATM Withdrawal,3000,debit
2024-04-09,Fuel Station,1550,debit
2024-04-10,Medical Pharmacy,625,debit
2024-04-12,Flipkart Sale,950,debit
2024-04-14,Freelance Payment,9200,credit
2024-04-16,Internet Bill,999,debit
2024-04-18,Phone EMI,2499,debit
2024-04-20,Mutual Fund SIP,2000,debit
