Date,Description,Amount,Type
2022-10-08,Spotify Subscription,2011,debit
2022-05-22,Internet Bill,6824,debit
2023-11-17,Restaurant Bill,8087,debit
2024-01-06,Insurance Premium,6330,debit
2022-09-12,Bus Pass Recharge,5429,debit
2023-02-15,Freelance Payment,8263,credit
2022-08-27,ATM Withdrawal,6247,debit
2023-01-15,Medical Consultation,2932,debit
2023-11-03,Bonus,55280,credit
2023-03-27,Uber Ride,3565,debit
2022-08-09,Spotify Subscription,1658,debit
2022-10-27,Cafe Coffee Day,7015,debit
2022-07-01,Loan EMI,7492,debit
2022-05-02,Coworking Space Rent,5434,debit
2022-10-05,Fuel Station,308,debit
2023-11-13,Hospital Bill,5200,debit
2022-05-11,Coworking Space Rent,4973,debit
2023-05-11,Pet Grooming,6391,debit
2022-01-06,Doctor Visit,6648,debit
2024-01-15,Coworking Space Rent,1940,debit
2022-03-05,Tuition Fee,5828,debit
2023-01-12,YouTube Premium,6340,debit
2022-10-18,Pet Grooming,441,debit
2022-02-20,Exam Fee,6560,debit
2022-11-01,Bonus,27726,credit
2024-03-14,Uber Ride,6429,debit
2023-02-24,Concert Ticket,3895,debit
2023-11-08,Swiggy Food,1366,debit
2022-07-31,YouTube Premium,1314,debit
2023-08-28,Water Bill,2085,debit
2023-08-06,YouTube Premium,7867,debit
2023-02-18,Pet Grooming,9505,debit
2022-10-19,Internet Bill,5550,debit
2023-04-18,Cinema Ticket,7401,debit
2022-12-22,YouTube Premium,9701,debit
2022-12-08,Ola Cabs,5400,debit
2023-11-13,ATM Withdrawal,6971,debit
2022-09-15,Pet Vaccination,9167,debit
2022-07-07,Phone Recharge,5659,debit
2022-08-02,Restaurant Bill,4391,debit
2022-12-23,Rent Payment,4515,debit
2023-01-28,Rent Payment,9757,debit
2024-03-23,Insurance Premium,150,debit
2022-12-17,YouTube Premium,5594,debit
2022-10-08,Credit Card Bill,2867,debit
2022-06-11,Spotify Subscription,3072,debit
2022-10-06,YouTube Premium,4447,debit
2023-12-01,Internet Bill,3176,debit
2022-06-12,Gift Purchase,107,debit
2023-02-12,Phone Recharge,7863,debit
2024-01-14,Credit Card Bill,419,debit
2022-12-15,Spotify Subscription,4338,debit
2023-08-18,Cinema Ticket,5274,debit
2022-06-06,Phone Recharge,1255,debit
2023-07-11,Coworking Space Rent,7737,debit
2022-02-05,Fuel Station,6785,debit
2023-11-29,Pet Grooming,8975,debit
2023-01-03,Medical Pharmacy,1686,debit
2022-04-26,Netflix Subscription,4911,debit
2022-03-21,Mutual Fund SIP,6369,debit
2023-07-20,Pet Vaccination,6120,debit
2023-08-08,Freelance Payment,22129,credit
2023-01-10,Flipkart Sale,8756,debit
2022-07-17,Concert Ticket,2355,debit
2023-01-15,Electricity Bill,6230,debit
2022-04-28,Amazon Prime,9669,debit
2023-04-03,Amazon Prime,7207,debit
2022-08-27,Pet Vaccination,2608,debit
2023-09-09,Bonus,69826,credit
2023-08-02,IRCTC Train Booking,5487,debit
2023-12-15,Credit Card Bill,1011,debit
2022-12-29,Cinema Ticket,7835,debit
2022-01-23,Spotify Subscription,3592,debit
2022-05-19,Mutual Fund SIP,128,debit
2024-03-27,ATM Withdrawal,2844,debit
2023-08-18,Cafe Coffee Day,3516,debit
2022-09-12,Medical Consultation,4793,debit
2022-09-23,Water Bill,6398,debit
2022-10-02,Concert Ticket,1739,debit
2023-01-13,Online Course,8421,debit
2023-11-01,Bonus,46974,credit
2022-06-06,Phone Recharge,6922,debit
2023-08-05,Bus Pass Recharge,8441,debit
2023-10-04,Ola Cabs,3910,debit
2023-11-13,ATM Withdrawal,1419,debit
2024-03-07,ATM Withdrawal,9644,debit
2022-09-16,Amazon Shopping,4271,debit
2022-07-24,Cinema Ticket,6139,debit
2024-01-05,Internet Bill,3058,debit
2023-08-29,Restaurant Bill,3936,debit
2022-05-08,Spotify Subscription,2953,debit
2022-06-02,Cafe Coffee Day,6673,debit
2023-11-02,IRCTC Train Booking,3379,debit
2022-04-18,Netflix Subscription,6919,debit
2022-07-30,Insurance Premium,3696,debit
2024-01-31,Bonus,5952,credit
2024-03-18,Phone Recharge,7341,debit
2022-09-13,Spotify Subscription,3354,debit
2022-12-15,Mobile Accessories,5511,debit
2022-03-30,Phone Recharge,4248,debit
2023-10-25,Online Course,8578,debit
2022-09-27,Concert Ticket,9111,debit
2022-11-15,Ola Cabs,3645,debit
2023-06-24,Coworking Space Rent,5576,debit
2022-11-15,ATM Withdrawal,8252,debit
2023-09-13,Bus Pass Recharge,2628,debit
2024-03-12,Mutual Fund SIP,4938,debit
2024-02-13,Cinema Ticket,4063,debit
2023-08-30,Exam Fee,3476,debit
2023-08-26,Investment Return,25464,credit
2023-07-31,Electricity Bill,8326,debit
2023-04-03,Credit Card Bill,8783,debit
2022-09-09,Medical Consultation,2820,debit
2024-01-28,Online Course,8949,debit
2023-01-30,Hospital Bill,5431,debit
2022-01-01,Phone Recharge,297,debit
2022-12-30,Bonus,51401,credit
2022-09-10,Netflix Subscription,9989,debit
2022-06-02,Medical Consultation,3574,debit
2022-07-16,Medical Pharmacy,6930,debit
2023-08-09,Mutual Fund SIP,297,debit
2023-03-07,Starbucks Coffee,8137,debit
2023-06-13,Domino's Pizza,4832,debit
2024-02-17,Ola Cabs,3375,debit
2022-08-28,Loan EMI,3197,debit
2022-03-27,Tuition Fee,2018,debit
2023-07-26,Pet Grooming,8096,debit
2022-04-10,Online Course,1749,debit
2023-12-07,Doctor Visit,3043,debit
2023-06-15,Coworking Space Rent,4622,debit
2023-09-15,Exam Fee,3711,debit
2024-01-29,Uber Ride,1597,debit
2023-02-09,Flipkart Sale,1153,debit
2023-07-18,Medical Pharmacy,3163,debit
2023-06-09,Bus Pass Recharge,8036,debit
2024-02-24,Pet Grooming,929,debit
2023-06-14,Ola Cabs,8042,debit
2022-07-23,Loan EMI,8855,debit
2023-07-08,ATM Withdrawal,1910,debit
2022-01-13,Tuition Fee,7114,debit
2023-01-22,Bus Pass Recharge,3175,debit
2024-01-14,YouTube Premium,567,debit
2023-05-02,Credit Card Bill,760,debit
2022-08-08,Loan EMI,5521,debit
2023-07-10,IRCTC Train Booking,3530,debit
2022-07-10,Mutual Fund SIP,5455,debit
2022-01-31,Hospital Bill,4844,debit
2022-11-13,Credit Card Bill,7092,debit
2023-10-30,Rent Payment,4985,debit
2023-09-24,Phone Recharge,6630,debit
2024-01-25,Clothing Store,8220,debit
2024-01-13,Insurance Premium,9482,debit
2022-06-26,Phone Recharge,4617,debit
2023-11-16,Amazon Prime,5301,debit
2024-01-24,Cinema Ticket,9401,debit
2022-11-14,Online Course,9071,debit
2024-02-14,Amazon Shopping,1979,debit
2022-11-24,Bus Pass Recharge,5295,debit
2023-07-08,Internet Bill,6227,debit
2023-10-20,Concert Ticket,9356,debit
2023-09-12,Doctor Visit,517,debit
2022-06-03,Mobile Accessories,9205,debit
2022-07-18,Amazon Prime,1104,debit
2023-08-02,IRCTC Train Booking,9210,debit
2022-06-01,Electricity Bill,7493,debit
2022-04-25,Amusement Park,6907,debit
2022-04-03,Clothing Store,7264,debit
2022-09-09,Domino's Pizza,4460,debit
2023-01-08,Medical Consultation,9975,debit
2023-12-13,Concert Ticket,1850,debit
2022-01-22,Hospital Bill,1947,debit
2024-03-15,Concert Ticket,119,debit
2023-04-25,Gift Purchase,808,debit
2022-01-06,Tuition Fee,8182,debit
2022-12-11,Home Cleaning Services,2938,debit
2024-02-04,Medical Consultation,7445,debit
2022-05-19,Loan EMI,8945,debit
2023-07-22,Phone Recharge,6513,debit
2022-04-10,YouTube Premium,140,debit
2023-05-16,Phone Recharge,7308,debit
2022-11-03,Tuition Fee,4364,debit
2024-03-17,Investment Return,39711,credit
2022-07-20,Home Cleaning Services,3289,debit
2023-12-08,Freelance Payment,54703,credit
2023-08-17,Exam Fee,5490,debit
2023-03-29,Doctor Visit,3514,debit
2022-09-08,Credit Card Bill,7983,debit
2024-03-14,Internet Bill,9803,debit
2023-11-06,Restaurant Bill,4406,debit
2022-11-18,Internet Bill,4822,debit
2022-06-14,Water Bill,2141,debit
2024-01-27,Investment Return,32165,credit
2023-03-28,Bus Pass Recharge,5490,debit
2022-04-22,Amazon Shopping,675,debit
2022-02-23,Water Bill,7232,debit
2023-02-15,Concert Ticket,3127,debit
2024-03-10,Home Cleaning Services,1526,debit
2024-03-10,Insurance Premium,3165,debit
2023-04-03,Ola Cabs,1669,debit
2022-12-18,Mutual Fund SIP,3256,debit
2023-07-21,Amazon Shopping,2908,debit
2023-11-22,Exam Fee,2400,debit
2024-01-10,Coworking Space Rent,7078,debit
2024-03-22,Fuel Station,3212,debit
2022-05-28,Coworking Space Rent,8256,debit
2023-03-08,Home Cleaning Services,4463,debit
2022-11-17,Coworking Space Rent,896,debit
2023-01-06,Ola Cabs,7682,debit
2022-02-26,Ola Cabs,3967,debit
2024-03-19,Mutual Fund SIP,1640,debit
2022-09-12,Medical Pharmacy,7841,debit
2023-07-06,Hospital Bill,1353,debit
2023-04-04,IRCTC Train Booking,8086,debit
2022-12-14,Medical Pharmacy,6596,debit
2024-02-08,Zomato Order,2426,debit
2023-08-25,Hospital Bill,4628,debit
2022-05-10,Pet Vaccination,5525,debit
2023-04-17,Rent Payment,5211,debit
2022-07-25,Freelance Payment,42809,credit
2022-05-05,Starbucks Coffee,3472,debit
2024-02-28,Concert Ticket,9886,debit
2023-12-27,Cinema Ticket,481,debit
2023-01-16,YouTube Premium,8020,debit
2022-02-07,Flipkart Sale,8404,debit
2023-12-01,ATM Withdrawal,7602,debit
2022-11-12,Online Course,6884,debit
